ID,Symbol,Company_Name,Market_Cap
166,APD,"Air Products and Chemicals, Inc.",63.16B
167,FCX,Freeport-McMoRan Inc.,62.89B
168,CARR,Carrier Global Corporation,62.84B
169,NEM,Newmont Corporation,62.68B
170,HLT,Hilton Worldwide Holdings Inc.,62.68B
171,CHTR,"Charter Communications, Inc.",61.69B
172,CSX,CSX Corporation,61.34B
173,ROP,"Roper Technologies, Inc.",60.73B
174,SPG,"Simon Property Group, Inc.",60.46B
175,AZO,"AutoZone, Inc.",60.27B
176,MNST,Monster Beverage Corporation,60.00B
177,TRV,"The Travelers Companies, Inc.",59.58B
178,DLR,"Digital Realty Trust, Inc.",58.66B
179,COR,"Cencora, Inc.",58.10B
180,NSC,Norfolk Southern Corporation,57.62B
181,AFL,Aflac Incorporated,56.56B
182,PWR,"Quanta Services, Inc.",56.44B
183,TFC,Truist Financial Corporation,55.73B
184,REGN,"Regeneron Pharmaceuticals, Inc.",54.80B
185,AEP,"American Electric Power Company, Inc.",54.79B
186,NXPI,NXP Semiconductors N.V.,54.74B
187,FDX,FedEx Corporation,54.38B
188,MET,"MetLife, Inc.",53.72B
189,O,Realty Income Corporation,51.76B
190,ALL,The Allstate Corporation,51.59B
191,PAYX,"Paychex, Inc.",51.51B
192,PSA,Public Storage,51.22B
193,OKE,"ONEOK, Inc.",51.19B
194,NDAQ,"Nasdaq, Inc.",51.03B
195,MPC,Marathon Petroleum Corporation,50.99B
196,CTVA,"Corteva, Inc.",50.55B
197,AMP,"Ameriprise Financial, Inc.",50.35B
198,PCAR,PACCAR Inc,49.82B
199,TEL,TE Connectivity plc,49.66B
200,GWW,"W.W. Grainger, Inc.",49.25B
201,SRE,Sempra,49.05B
202,URI,"United Rentals, Inc.",49.03B
203,BDX,"Becton, Dickinson and Company",48.99B
204,AIG,"American International Group, Inc.",48.81B
205,PSX,Phillips 66,48.56B
206,FAST,Fastenal Company,47.84B
207,GM,General Motors Company,47.57B
208,D,"Dominion Energy, Inc.",47.44B
209,KR,The Kroger Co.,47.08B
210,CPRT,"Copart, Inc.",46.75B
211,SLB,Schlumberger Limited,46.10B
212,LHX,"L3Harris Technologies, Inc.",46.07B
213,EW,Edwards Lifesciences Corporation,45.68B
214,TGT,Target Corporation,45.03B
215,CMI,Cummins Inc.,44.81B
216,KDP,Keurig Dr Pepper Inc.,44.41B
217,GLW,Corning Incorporated,44.25B
218,MSCI,MSCI Inc.,44.19B
219,CCI,Crown Castle Inc.,43.89B
220,TTWO,"Take-Two Interactive Software, Inc.",43.77B
221,EXC,Exelon Corporation,43.26B
222,FICO,Fair Isaac Corporation,43.08B
223,IDXX,"IDEXX Laboratories, Inc.",42.86B
224,VRSK,"Verisk Analytics, Inc.",42.85B
225,F,Ford Motor Company,42.79B
226,HES,Hess Corporation,42.71B
227,KMB,Kimberly-Clark Corporation,42.41B
228,VLO,Valero Energy Corporation,41.99B
229,FIS,"Fidelity National Information Services, Inc.",41.96B
230,OXY,Occidental Petroleum Corporation,41.93B
231,ROST,"Ross Stores, Inc.",41.90B
232,PEG,Public Service Enterprise Group Incorporated,41.68B
233,AME,"AMETEK, Inc.",41.66B
234,YUM,"Yum! Brands, Inc.",41.13B
235,FANG,"Diamondback Energy, Inc.",40.84B
236,CBRE,"CBRE Group, Inc.",40.82B
237,KVUE,Kenvue Inc.,40.18B
238,GRMN,Garmin Ltd.,40.06B
239,CAH,"Cardinal Health, Inc.",39.89B
240,EA,Electronic Arts Inc.,39.75B
241,DHI,"D.R. Horton, Inc.",39.38B
242,XEL,Xcel Energy Inc.,39.06B
243,OTIS,Otis Worldwide Corporation,38.34B
244,CTSH,Cognizant Technology Solutions Corporation,38.05B
245,MCHP,Microchip Technology Incorporated,37.89B
246,PRU,"Prudential Financial, Inc.",37.79B
247,TRGP,Targa Resources Corp.,37.74B
248,BKR,Baker Hughes Company,37.53B
249,RMD,ResMed Inc.,37.16B
250,ROK,"Rockwell Automation, Inc.",37.08B
251,CCL,Carnival Corporation & plc,36.68B
252,SYY,Sysco Corporation,36.20B
253,BRO,"Brown & Brown, Inc.",35.67B
254,ETR,Entergy Corporation,35.63B
255,WAB,Westinghouse Air Brake Technologies Corporation,35.40B
256,HIG,"The Hartford Insurance Group, Inc.",35.39B
257,ED,"Consolidated Edison, Inc.",35.32B
258,TKO,"TKO Group Holdings, Inc.",35.30B
259,EQT,EQT Corporation,34.94B
260,MPWR,"Monolithic Power Systems, Inc.",34.93B
261,VMC,Vulcan Materials Company,34.53B
262,LYV,"Live Nation Entertainment, Inc.",34.49B
263,ODFL,"Old Dominion Freight Line, Inc.",34.45B
264,VICI,VICI Properties Inc.,34.11B
265,GEHC,GE HealthCare Technologies Inc.,34.06B
266,CSGP,"CoStar Group, Inc.",34.02B
267,IR,Ingersoll Rand Inc.,33.98B
268,HSY,The Hershey Company,33.93B
269,EBAY,eBay Inc.,33.90B
270,A,"Agilent Technologies, Inc.",33.86B
271,DXCM,"DexCom, Inc.",33.85B
272,ACGL,Arch Capital Group Ltd.,33.54B
273,MLM,"Martin Marietta Materials, Inc.",33.03B
274,WEC,"WEC Energy Group, Inc.",32.86B
275,EXR,Extra Space Storage Inc.,32.47B
276,DAL,"Delta Air Lines, Inc.",32.33B
277,NRG,"NRG Energy, Inc.",32.20B
278,MTB,M&T Bank Corporation,31.12B
279,XYL,Xylem Inc.,31.11B
280,LVS,Las Vegas Sands Corp.,31.09B
281,IT,"Gartner, Inc.",31.01B
282,EFX,Equifax Inc.,30.96B
283,RJF,"Raymond James Financial, Inc.",30.91B
284,PCG,PG&E Corporation,30.82B
285,ANSS,"ANSYS, Inc.",30.68B
286,KHC,The Kraft Heinz Company,30.28B
287,NUE,Nucor Corporation,30.15B
288,STT,State Street Corporation,30.09B
